Instância,Energia total gasta,total de rotas,rotas factíveis
1,38623.4,1,0
2,58166.3,1,0
3,198021.1,10,5
4,198021.1,10,5
5,34066.0,1,0
6,65261.399999999994,2,0
7,198021.1,10,5
8,61299.4,1,0
9,198021.1,10,5
10,198021.1,10,5
11,46246.0,1,0
12,198021.1,10,5
13,198021.1,10,5
14,198021.1,10,5
15,162896.40000000002,3,0
16,162896.40000000002,3,0
17,52225.5,1,0
18,71022.0,1,0
19,162896.40000000002,3,0
20,162896.40000000002,3,0
21,162896.40000000002,3,0
22,52182.1,1,0
23,162896.40000000002,3,0
24,42771.8,1,0
25,162896.40000000002,3,0
26,162896.40000000002,3,0
27,35421.5,1,0
28,60068.2,1,0
29,211575.6,8,2
30,211575.6,8,2
31,43396.4,1,0
32,55052.0,1,0
33,211575.6,8,2
34,33749.2,1,0
35,211575.6,8,2
36,30961.1,1,0
37,211575.6,8,2
38,30993.3,1,0
39,56526.81,2,1
40,211575.6,8,2
41,211575.6,8,2
42,211575.6,8,2
43,211575.6,8,2
44,211575.6,8,2
45,211575.6,8,2
46,211575.6,8,2
47,200491.5,2,0
48,41279.5,1,0
49,200491.5,2,0
50,29088.5,1,0
51,63783.1,1,0
52,200491.5,2,0
53,41066.4,1,0
54,49377.0,1,0
55,200491.5,2,0
56,200491.5,2,0
57,200491.5,2,0
58,200491.5,2,0
59,200491.5,2,0
60,200491.5,2,0
61,57758.3,1,0
62,200491.5,2,0
63,200491.5,2,0
64,247569.9,9,0
65,247569.9,9,0
66,69406.4,1,0
67,247569.9,9,0
68,72194.53,2,1
69,247569.9,9,0
70,247569.9,9,0
71,46429.9,1,0
72,247569.9,9,0
73,247569.9,9,0
74,247569.9,9,0
75,48323.7,1,0
76,73426.5,1,0
77,73146.7,2,0
78,203157.3,2,0
79,58181.2,1,0
80,203157.3,2,0
81,67097.4,1,0
82,203157.3,2,0
83,203157.3,2,0
84,40431.7,1,0
85,71899.2,1,0
86,203157.3,2,0
87,66036.9,1,0
88,203157.3,2,0
89,203157.3,2,0
90,203157.3,2,0
91,39645.9,1,0
